Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
Acadia National Park,Bird,Passeriformes,Parulidae,Setophaga ruticilla,"American Redstart, Redstart",Approved,Present,Native,Abundant,Breeder,
Acadia National Park,Bird,Passeriformes,Parulidae,Vermivora celata,"Eastern Orange-Crowned Warbler, Orange-Crowned Warbler",Approved,Present,Not Native,Unknown,Vagrant,
Acadia National Park,Bird,Passeriformes,Parulidae,Vermivora chrysoptera,Golden-Winged Warbler,Approved,Present,Not Native,Unknown,Vagrant,Under Review
Acadia National Park,Bird,Passeriformes,Parulidae,Vermivora peregrina,Tennessee Warbler,Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Parulidae,Vermivora pinus,Blue-Winged Warbler,Approved,Present,Not Native,Unknown,Vagrant,
Acadia National Park,Bird,Passeriformes,Parulidae,Vermivora ruficapilla,"Eastern Nashville Warbler, Nashville Warbler",Approved,Present,Native,Common,Breeder,Species of Concern
Acadia National Park,Bird,Passeriformes,Parulidae,Wilsonia canadensis,Canada Warbler,Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Parulidae,Wilsonia citrina,Hooded Warbler,Approved,Present,Not Native,Unknown,Vagrant,
Acadia National Park,Bird,Passeriformes,Parulidae,Wilsonia pusilla,"Wilson's Pileolated Warbler, Wilson's Warbler",Approved,Present,Native,Common,Breeder,Species of Concern
Acadia National Park,Bird,Passeriformes,Passeridae,Passer domesticus,"English Sparrow, European House Sparrow, House Sparrow",Approved,Not Confirmed,Not Native,,,
Acadia National Park,Bird,Passeriformes,Polioptilidae,Polioptila caerulea,Blue-Gray Gnatcatcher,Approved,Present,Native,Rare,Migratory,
Acadia National Park,Bird,Passeriformes,Regulidae,Regulus calendula,"Eastern Ruby-Crowned Kinglet, Ruby-Crowned Kinglet",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Regulidae,Regulus satrapa,"Eastern Golden-Crowned Kinglet, Golden-Crowned Kinglet",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Sittidae,Sitta canadensis,Red-Breasted Nuthatch,Approved,Present,Native,Abundant,Breeder,
Acadia National Park,Bird,Passeriformes,Sittidae,Sitta carolinensis,"Eastern White-Breasted Nuthatch, White-Breasted Nuthatch",Approved,Present,Native,Common,,
Acadia National Park,Bird,Passeriformes,Sturnidae,Sturnus vulgaris,"Common Starling, European Starling, Starling",Approved,Not Confirmed,Not Native,,,
Acadia National Park,Bird,Passeriformes,Troglodytidae,Cistothorus palustris,"Long-Billed Marsh Wren, Marsh Wren, Prairie Marsh Wren",Approved,Present,Native,Rare,Resident,
Acadia National Park,Bird,Passeriformes,Troglodytidae,Cistothorus platensis,"Sedge Wren, Short-Billed Marsh Wren, Short-Billed Sedge Wren",Approved,Present,Native,Rare,Resident,
Acadia National Park,Bird,Passeriformes,Troglodytidae,Thryomanes bewickii,"Bewick's Wren, Eastern Bewick's Wren",Approved,Not Present (Historical Report),Not Native,,Vagrant,
Acadia National Park,Bird,Passeriformes,Troglodytidae,Thryothorus ludovicianus,"Carolina Wren, Northern Carolina Wren",Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Passeriformes,Troglodytidae,Troglodytes aedon,"Eastern House Wren, House Wren",Approved,Not Present (Historical Report),Native,,,
Acadia National Park,Bird,Passeriformes,Troglodytidae,Troglodytes troglodytes,"Eastern Winter Wren, Winter Wren",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Turdidae,Catharus bicknelli,"Bicknell's Gray-Cheeked Thrush, Bicknell's Thrush",Approved,Not Confirmed,Not Native,,Migratory,Under Review
Acadia National Park,Bird,Passeriformes,Turdidae,Catharus fuscescens,"Eastern Veery, Veery, Wilson's Thrush",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Turdidae,Catharus guttatus,"Eastern Hermit Thrush, Hermit Thrush",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Turdidae,Catharus minimus,"Gray-Cheeked Thrush, Northern Gray-Cheeked Thrush",Approved,Present,Native,Rare,Migratory,
Acadia National Park,Bird,Passeriformes,Turdidae,Catharus ustulatus,"Olive-Backed Swainson's Thrush, Olive-Backed Thrush, Swainson's Thrush",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Turdidae,Hylocichla mustelina,Wood Thrush,Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Bird,Passeriformes,Turdidae,Ixoreus naevius,Varied Thrush,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Passeriformes,Turdidae,Myadestes townsendi,Townsend's Solitaire,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Passeriformes,Turdidae,Sialia sialis,"Bluebird, Eastern Bluebird",Approved,Present,Native,Uncommon,,
Acadia National Park,Bird,Passeriformes,Turdidae,Turdus migratorius,"American Robin, Eastern Robin",Approved,Present,Native,Abundant,Breeder,
Acadia National Park,Bird,Passeriformes,Tyrannidae,Contopus cooperi,Olive-Sided Flycatcher,Approved,Present,Native,Uncommon,Breeder,Species of Concern
Acadia National Park,Bird,Passeriformes,Tyrannidae,Contopus virens,"Eastern Wood Pewee, Wood Pewee",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Tyrannidae,Empidonax alnorum,Alder Flycatcher,Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Tyrannidae,Empidonax flaviventris,Yellow-Bellied Flycatcher,Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Tyrannidae,Empidonax minimus,"Chebec, Least Flycatcher",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Tyrannidae,Empidonax traillii,"Alder Traill's Flycatcher, Traills Flycatcher, Willow Flycatcher",Approved,Present,Native,Rare,,Species of Concern
Acadia National Park,Bird,Passeriformes,Tyrannidae,Myiarchus cinerascens,Ash-Throated Flycatcher,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Passeriformes,Tyrannidae,Myiarchus crinitus,"Crested Flycatcher, Great Crested Flycatcher, Northern Crested Flycatcher",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Tyrannidae,Pyrocephalus rubinus,Vermilion Flycatcher,Approved,Not Confirmed,Not Native,,Vagrant,Species of Concern
Acadia National Park,Bird,Passeriformes,Tyrannidae,Sayornis phoebe,"Eastern Phoebe, Phoebe",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Tyrannidae,Sayornis saya,Say's Phoebe,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Passeriformes,Tyrannidae,Tyrannus forficatus,Scissor-Tailed Flycatcher,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Passeriformes,Tyrannidae,Tyrannus tyrannus,Eastern Kingbird,Approved,Present,Native,Common,,
Acadia National Park,Bird,Passeriformes,Tyrannidae,Tyrannus verticalis,"Arkansas Kingbird, Western Kingbird",Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Passeriformes,Vireonidae,Vireo flavifrons,Yellow-Throated Vireo,Approved,Present,Native,Occasional,Migratory,
Acadia National Park,Bird,Passeriformes,Vireonidae,Vireo gilvus,"Eastern Warbling Vireo, Warbling Vireo",Approved,Present,Native,Occasional,,
Acadia National Park,Bird,Passeriformes,Vireonidae,Vireo griseus,"Northern White-Eyed Vireo, White-Eyed Vireo",Approved,Present,Not Native,Unknown,Vagrant,
Acadia National Park,Bird,Passeriformes,Vireonidae,Vireo olivaceus,Red-Eyed Vireo,Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Passeriformes,Vireonidae,Vireo philadelphicus,Philadelphia Vireo,Approved,Present,Native,Rare,,
Acadia National Park,Bird,Passeriformes,Vireonidae,Vireo solitarius,"Blue-Headed Solitary Vireo, Blue-Headed Vireo, Solitary Vireo",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Pelecaniformes,Ardeidae,Ardea alba,"American Egret, Common Egret?, Great Egret",Approved,Present,Native,Occasional,Migratory,
Acadia National Park,Bird,Pelecaniformes,Ardeidae,Ardea herodias,"Great Blue Heron, Northern Great Blue Heron",Approved,Present,Native,Common,,Species of Concern
Acadia National Park,Bird,Pelecaniformes,Ardeidae,Botaurus lentiginosus,American Bittern,Approved,Present,Native,Common,Breeder,Species of Concern
Acadia National Park,Bird,Pelecaniformes,Ardeidae,Bubulcus ibis,Cattle Egret,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Pelecaniformes,Ardeidae,Butorides virescens,"Eastern Green Heron, Green Heron, Green-Backed Heron",Approved,Present,Native,Uncommon,,
Acadia National Park,Bird,Pelecaniformes,Ardeidae,Egretta caerulea,"Little Blue Heron, Northern Little Blue Heron",Approved,Present,Not Native,Occasional,Vagrant,
Acadia National Park,Bird,Pelecaniformes,Ardeidae,Egretta thula,Snowy Egret,Approved,Present,Not Native,Rare,Vagrant,
Acadia National Park,Bird,Pelecaniformes,Ardeidae,Egretta tricolor,Tricolored Heron,Approved,Present,Not Native,Occasional,Vagrant,
Acadia National Park,Bird,Pelecaniformes,Ardeidae,Ixobrychus exilis,"Least Bittern, Eastern Least Bittern",Approved,Present,Native,Rare,Breeder,
Acadia National Park,Bird,Pelecaniformes,Ardeidae,Nyctanassa violacea,"Yellow-Crowned Night Heron, Yellow-Crowned Night-Heron",Approved,Present,Not Native,Occasional,Vagrant,
Acadia National Park,Bird,Pelecaniformes,Ardeidae,Nycticorax nycticorax,"Black-Crowned Night Heron, Black-Crowned Night-Heron",Approved,Present,Native,Occasional,,Species of Concern
Acadia National Park,Bird,Pelecaniformes,Ardeidae,Nycticorax violaceus,"Yellow-Crowned Night Heron, Yellow-Crowned Night-Heron",Approved,Present,Not Native,Unknown,Vagrant,
Acadia National Park,Bird,Pelecaniformes,Pelecanidae,Pelecanus erythrorhynchos,"American White Pelican, White Pelican",Approved,Not Confirmed,Not Native,,Vagrant,Species of Concern
Acadia National Park,Bird,Pelecaniformes,Pelecanidae,Pelecanus occidentalis,Brown Pelican,Approved,Not Present (False Report),Not Native,,Vagrant,In Recovery
Acadia National Park,Bird,Pelecaniformes,Threskiornithidae,Plegadis falcinellus,"Eastern Glossy Ibis, Glossy Ibis",Approved,Present,Not Native,Unknown,Vagrant,
Acadia National Park,Bird,Piciformes,Picidae,Colaptes auratus,"Common Flicker, Flicker, Golden-Winged Flicker, Northern Flicker, Northern Yellow-Shafted Flicker, Yellow-Shafted Flicker",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Piciformes,Picidae,Dryocopus pileatus,"Northern Pileated Woodpecker, Pileated Woodpecker",Approved,Present,Native,Common,,Species of Concern
Acadia National Park,Bird,Piciformes,Picidae,Melanerpes carolinus,"Eastern Red-Bellied Woodpecker, Red-Bellied Woodpecker",Approved,Present,Not Native,Unknown,Vagrant,
Acadia National Park,Bird,Piciformes,Picidae,Melanerpes erythrocephalus,"Eastern Red-Headed Woodpecker, Red-Headed Woodpecker",Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Piciformes,Picidae,Picoides arcticus,"Arctic Three-Toed Woodpecker, Black-Backed Three-Toed Woodpecker, Black-Backed Woodpecker",Approved,Present,Native,Occasional,Breeder,Under Review
Acadia National Park,Bird,Piciformes,Picidae,Picoides pubescens,"Downy Woodpecker, Northern Downy Woodpecker",Approved,Present,Native,Abundant,Breeder,Species of Concern
Acadia National Park,Bird,Piciformes,Picidae,Picoides tridactylus,"American Three-Toed Woodpecker, Northern Three-Toed Woodpecker, Three-Toed Woodpecker",Approved,Present,Not Native,Unknown,Vagrant,Species of Concern
Acadia National Park,Bird,Piciformes,Picidae,Picoides villosus,"Eastern Hairy Woodpecker, Hairy Woodpecker",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Piciformes,Picidae,Sphyrapicus varius,Yellow-Bellied Sapsucker,Approved,Present,Native,Common,,Species of Concern
Acadia National Park,Bird,Podicipediformes,Podicipedidae,Podiceps auritus,Horned Grebe,Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Podicipediformes,Podicipedidae,Podiceps grisegena,"Holboell's Grebe, Holboell's Red-Necked Grebe, Red-Necked Grebe",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Podicipediformes,Podicipedidae,Podiceps nigricollis,Eared Grebe,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Podicipediformes,Podicipedidae,Podilymbus podiceps,Pied-Billed Grebe,Approved,Present,Native,Rare,Breeder,
Acadia National Park,Bird,Procellariiformes,Diomedeidae,Diomedea chlororhynchos,Yellow-Nosed Albatross,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Procellariiformes,Hydrobatidae,Oceanites oceanicus,"Atlantic Wilson's Petrel, Wilson's Petrel, Wilson's Storm-Petrel",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Procellariiformes,Hydrobatidae,Oceanodroma leucorhoa,"Leach's Petrel, Leach's Storm-Petrel, Northern Leach's Petrel",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Procellariiformes,Procellariidae,Calonectris diomedea,"Cory's Cinereous Shearwater, Cory's Shearwater, North Atlantic Shearwater",Approved,Not Confirmed,Not Native,,Migratory,
Acadia National Park,Bird,Procellariiformes,Procellariidae,Fulmarus glacialis,"Atlantic Fulmar, Northern Fulmar",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Procellariiformes,Procellariidae,Puffinus gravis,Greater Shearwater,Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Bird,Procellariiformes,Procellariidae,Puffinus griseus,Sooty Shearwater,Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Bird,Procellariiformes,Procellariidae,Puffinus puffinus,"Manx Common Shearwater, Manx Shearwater",Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Bird,Strigiformes,Strigidae,Aegolius acadicus,Northern Saw-Whet Owl,Approved,Present,Native,Uncommon,,
Acadia National Park,Bird,Strigiformes,Strigidae,Aegolius funereus,"American Tengmalm's Owl, Boreal Owl, Richardson's Owl, Tengmalms' Owl",Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Strigiformes,Strigidae,Asio flammeus,"Northern Short-Eared Owl, Short-Eared Owl",Approved,Not Present (Historical Report),Not Native,,Vagrant,Species of Concern
Acadia National Park,Bird,Strigiformes,Strigidae,Asio otus,"American Long-Eared Owl, Long-Eared Owl",Approved,Present,Native,Rare,Resident,Species of Concern
Acadia National Park,Bird,Strigiformes,Strigidae,Bubo virginianus,"Eastern Horned Owl, Great Horned Owl",Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Bird,Strigiformes,Strigidae,Nyctea scandiaca,Snowy Owl,Approved,Present,Native,Rare,Resident,
Acadia National Park,Bird,Strigiformes,Strigidae,Otus asio,"Eastern Screech-Owl, Screech Owl",Approved,Present,Not Native,Unknown,Vagrant,
Acadia National Park,Bird,Strigiformes,Strigidae,Strix nebulosa,"American Great Gray Owl, Great Gray Owl",Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Strigiformes,Strigidae,Strix varia,"Barred Owl, Northern Barred Owl",Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Bird,Strigiformes,Strigidae,Surnia ulula,"American Hawk Owl, Hawk Owl, Northern Hawk Owl",Approved,Present,Not Native,Occasional,Vagrant,
Acadia National Park,Bird,Strigiformes,Tytonidae,Tyto alba,"Barn Owl, North American Barn Owl",Approved,Not Present (Historical Report),Not Native,,Vagrant,
Acadia National Park,Bird,Suliformes,Fregatidae,Fregata magnificens,"Magnificent Frigatebird, Man-O'-War-Bird",Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax auritus,"Double-Crested Cormorant, Northern Double-Crested Cormorant",Approved,Present,Native,Abundant,Resident,Species of Concern
Acadia National Park,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax carbo,"European Cormorant, Great Cormorant",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Suliformes,Sulidae,Morus bassanus,"Gannet, Northern Gannet",Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Reptile,Squamata,Colubridae,Diadophis punctatus,"Northern Ringneck Snake, Ringneck Snake, Ring-Necked Snake",Approved,Present,Native,Common,Breeder,Species of Concern
Acadia National Park,Reptile,Squamata,Colubridae,Lampropeltis triangulum,"Eastern Milk Snake, Milk Snake, Northern Milk Snake, Spotted Adder",Approved,Present,Native,Common,Breeder,
Acadia National Park,Reptile,Squamata,Colubridae,Liochlorophis vernalis,"Eastern Smooth Green Snake, Smooth Green Snake, Smooth-Scaled Green Snake",Approved,Present,Native,Common,Breeder,
Acadia National Park,Reptile,Squamata,Colubridae,Storeria occipitomaculata,"Red-Bellied Snake, Redbelly Snake",Approved,Present,Native,Common,Breeder,
Acadia National Park,Reptile,Squamata,Colubridae,Thamnophis sirtalis,"Common Garter Snake, Eastern Garter Snake, Garter Snake",Approved,Present,Native,Common,Breeder,
Acadia National Park,Reptile,Testudines,Chelydridae,Chelydra serpentina,"Common Snapping Turtle, Snapping Turtle",Approved,Present,Native,Common,Breeder,
Acadia National Park,Reptile,Testudines,Emydidae,Chrysemys picta,"Central Painted Turtle, Eastern Painted Turtle, Midland Painted Turtle, Painted Turtle",Approved,Present,Not Native,Common,Breeder,
Acadia National Park,Reptile,Testudines,Emydidae,Clemmys insculpta,Wood Turtle,Approved,Not Confirmed,Not Native,,,
Acadia National Park,Reptile,Testudines,Emydidae,Emydoidea blandingii,Blanding's Turtle,Approved,Not Confirmed,Not Native,,,Under Review
Acadia National Park,Reptile,Testudines,Emydidae,Terrapene carolina,"Box Turtle, Common Box Turtle, Eastern Box Turtle",Approved,Not Confirmed,Not Native,,,
Acadia National Park,Reptile,Testudines,Kinosternidae,Sternotherus odoratus,"Common Musk Turtle, Mud Turtle, Musk Turtle, Stinkpot",Approved,Not Present (False Report),Unknown,,,
Acadia National Park,Amphibian,Anura,Bufonidae,Bufo americanus,"American Toad, Common Toad",Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Amphibian,Anura,Hylidae,Hyla versicolor,"Gray Treefrog, Rain Toad, Tree Toad",Approved,Not Present (Historical Report),Unknown,,,
Acadia National Park,Amphibian,Anura,Hylidae,Pseudacris crucifer,Spring Peeper,Approved,Present,Native,Abundant,Breeder,
Acadia National Park,Amphibian,Anura,Ranidae,Rana catesbeiana,Bullfrog,Approved,Present,Native,Common,Breeder,
Acadia National Park,Amphibian,Anura,Ranidae,Rana clamitans,"Green Frog, Spring Frog",Approved,Present,Native,Common,Breeder,
Acadia National Park,Amphibian,Anura,Ranidae,Rana palustris,Pickerel Frog,Approved,Present,Native,Abundant,Breeder,
Acadia National Park,Amphibian,Anura,Ranidae,Rana pipiens,"Common Frog, Leopard Frog, Meadow Frog, Northern Leopard Frog",Approved,Not Present (Historical Report),Unknown,,,
Acadia National Park,Amphibian,Anura,Ranidae,Rana sylvatica,Wood Frog,Approved,Present,Native,Common,Breeder,
Acadia National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma laterale,Blue-Spotted Salamander,Approved,Not Confirmed,Not Native,,,
Acadia National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma maculatum,Spotted Salamander,Approved,Present,Native,Common,Breeder,
Acadia National Park,Amphibian,Caudata,Plethodontidae,Desmognathus fuscus,"Dusky Salamander, Northern Dusky Salamander",Approved,Present,Native,Common,Breeder,
Acadia National Park,Amphibian,Caudata,Plethodontidae,Eurycea bislineata,"Northern Two-Lined Salamander, Two-Lined Salamander",Approved,Present,Native,Common,Breeder,
Acadia National Park,Amphibian,Caudata,Plethodontidae,Hemidactylium scutatum,Four-Toed Salamander,Approved,Present,Native,Common,Breeder,
Acadia National Park,Amphibian,Caudata,Plethodontidae,Plethodon cinereus,"Eastern Red-Backed Salamander, Northern Redback Salamander, Red-Backed Salamander",Approved,Not Present (Historical Report),Native,,Breeder,
Acadia National Park,Amphibian,Caudata,Salamandridae,Notophthalmus viridescens,"Common Newt, Eastern Newt, Ebbet, Red Eft, Red-Spotted Newt",Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Fish,Anguilliformes,Anguillidae,Anguilla rostrata,"American Eel, Common Eel, Eel",Approved,Present,Native,Abundant,Resident,
Acadia National Park,Fish,Atheriniformes,Atherinopsidae,Menidia menidia,Atlantic Silverside,Approved,Present,Native,Unknown,,
Acadia National Park,Fish,Clupeiformes,Clupeidae,Alosa pseudoharengus,Alewife,Approved,Present,Native,Common,Breeder,
Acadia National Park,Fish,Clupeiformes,Clupeidae,Brevoortia tyrannus,Menhaden,Approved,Present,Unknown,Unknown,,
Acadia National Park,Fish,Clupeiformes,Clupeidae,Clupea harengus,Atlantic Herring,Approved,Present,Unknown,Unknown,,
Acadia National Park,Fish,Cypriniformes,Catostomidae,Catostomus commersoni,"Common Sucker, White Sucker",Approved,Present,Native,Common,Breeder,
Acadia National Park,Fish,Cypriniformes,Cyprinidae,Luxilus cornutus,Common Shiner,Approved,Present,Not Native,Uncommon,Breeder,
Acadia National Park,Fish,Cypriniformes,Cyprinidae,Notemigonus crysoleucas,Golden Shiner,Approved,Present,Native,Abundant,Breeder,
Acadia National Park,Fish,Cypriniformes,Cyprinidae,Phoxinus eos,"Northern Redbelly Dace, Red-Bellied Dace",Approved,Present,Native,Common,Breeder,
Acadia National Park,Fish,Cypriniformes,Cyprinidae,Pimephales promelas,Fathead Minnow,Approved,Not Present (Historical Report),Unknown,,,
Acadia National Park,Fish,Cypriniformes,Cyprinidae,Semotilus atromaculatus,Creek Chub,Approved,Present,Not Native,Uncommon,Breeder,
Acadia National Park,Fish,Cypriniformes,Cyprinidae,Semotilus corporalis,Fallfish,Approved,Present,Not Native,Uncommon,Breeder,
Acadia National Park,Fish,Cyprinodontiformes,Fundulidae,Fundulus diaphanus,"Banded Killifish, Top Minnow",Approved,Present,Native,Abundant,Breeder,
Acadia National Park,Fish,Cyprinodontiformes,Fundulidae,Fundulus heteroclitus,"Common Mummichog, Mummichog",Approved,Present,Unknown,Unknown,,
Acadia National Park,Fish,Cyprinodontiformes,Fundulidae,Fundulus majalis,Striped Mummichog,Approved,Present,Unknown,Unknown,,
Acadia National Park,Fish,Esociformes,Esocidae,Esox niger,"Chain Pickerel, Common Pickerel",Approved,Present,Not Native,Common,Breeder,
Acadia National Park,Fish,Gadiformes,Gadidae,Pollachius virens,Pollock,Approved,Present,Unknown,Unknown,,
Acadia National Park,Fish,Gasterosteiformes,Gasterosteidae,Apeltes quadracus,Fourspine Stickleback,Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Fish,Gasterosteiformes,Gasterosteidae,Gasterosteus aculeatus,"Brook Stickleback, Threespine Stickleback, Three-Spined Stickleback",Approved,Present,Native,Common,Breeder,
Acadia National Park,Fish,Gasterosteiformes,Gasterosteidae,Gasterosteus wheatlandi,"Blackspotted Stickleback, Twospine Stickleback",Approved,Present,Unknown,Unknown,,
Acadia National Park,Fish,Gasterosteiformes,Gasterosteidae,Pungitius pungitius,"Ninespine Stickleback, Ninespined Stickleback",Approved,Present,Native,Common,Breeder,
Acadia National Park,Fish,Osmeriformes,Osmeridae,Osmerus mordax,"Common Smelt, Rainbow Smelt, Smelt",Approved,Present,Native,Common,Breeder,Species of Concern
Acadia National Park,Fish,Perciformes,Centrarchidae,Lepomis auritus,Redbreast Sunfish,Approved,Present,Unknown,Uncommon,Breeder,
Acadia National Park,Fish,Perciformes,Centrarchidae,Lepomis gibbosus,"Common Sunfish, Pumpkinseed, Pumpkinseed Sunfish",Approved,Present,Native,Abundant,Breeder,
Acadia National Park,Fish,Perciformes,Centrarchidae,Micropterus dolomieu,"Small Mouthed Black-Bass, Smallmouth Bass, Small-Mouthed Bass",Approved,Present,Not Native,Uncommon,Breeder,
Acadia National Park,Fish,Perciformes,Centrarchidae,Micropterus salmoides,Largemouth Bass,Approved,Present,Not Native,Uncommon,,
Acadia National Park,Fish,Perciformes,Labridae,Tautogolabrus adspersus,Cunner,Approved,Not Confirmed,Unknown,,,
Acadia National Park,Fish,Perciformes,Moronidae,Morone americana,White Perch,Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Fish,Perciformes,Percidae,Perca flavescens,Yellow Perch,Approved,Present,Not Native,Uncommon,,
Acadia National Park,Fish,Pleuronectiformes,Pleuronectidae,Limanda ferruginea,Yellowtail,Approved,Present,Unknown,Unknown,,
Acadia National Park,Fish,Salmoniformes,Salmonidae,Coregonus clupeaformis,"Great Lakes Whitefish, Lake Whitefish",Approved,Not Present (Historical Report),Not Native,,,
Acadia National Park,Fish,Salmoniformes,Salmonidae,Oncorhynchus mykiss,"Kamloops Trout, Rainbow Trout, Steelhead Trout, Steel-Head Trout",Approved,Not Present (Historical Report),Not Native,,,
Acadia National Park,Fish,Salmoniformes,Salmonidae,Salmo salar,"Atlantic Salmon, Landlocked Salmon",Approved,Present,Not Native,Uncommon,Breeder,Endangered
Acadia National Park,Fish,Salmoniformes,Salmonidae,Salmo trutta,"Brown Trout, Loch Leven Brown Trout, Scotch Sea-Trout",Approved,Present,Not Native,Uncommon,,
Acadia National Park,Fish,Salmoniformes,Salmonidae,Salvelinus alpinus,"Arctic Char, Golden Trout, Silver Trout, Sunapee Char, Sunapee Trout",Approved,Not Present (Historical Report),Not Native,,,
Acadia National Park,Fish,Salmoniformes,Salmonidae,Salvelinus fontinalis,"Brook Trout, Native Brook Trout",Approved,Present,Native,Common,Breeder,
Acadia National Park,Fish,Salmoniformes,Salmonidae,Salvelinus namaycush,"Lake Trout, Togue",Approved,Present,Not Native,Uncommon,Breeder,
Acadia National Park,Fish,Siluriformes,Ictaluridae,Ameiurus nebulosus,Brown Bullhead,Approved,Present,Not Native,Uncommon,Breeder,
Acadia National Park,Vascular Plant,,,Dryopteris cristata x intermedia,Boott's Wood Fern,In Review,Not Present (Historical Report),Native,,,
Acadia National Park,Vascular Plant,,,Drypoteris cristata x marginalis,Crested Wood Fern,In Review,Not Confirmed,Native,,,
Acadia National Park,Vascular Plant,,,Glyceria x laxa,Rattlesnake Grass,In Review,Present,Native,Uncommon,,
Acadia National Park,Vascular Plant,,,Hypericum x dissimulatum,St. Johnswort,In Review,Not Confirmed,Native,,,
Acadia National Park,Vascular Plant,,,Panicum acuminatum ssp. fasciculatum,Panic Grass,Approved,Present,Native,Uncommon,,
Acadia National Park,Vascular Plant,,,Panicum acuminatum ssp. implicatum,Panic Grass,Approved,Present,Native,Occasional,,
Acadia National Park,Vascular Plant,,,Panicum acuminatum ssp. lindheimeri,Panic Grass,In Review,Not Confirmed,Native,,,
Acadia National Park,Vascular Plant,,,Panicum acuminatum ssp. spretum,Panic Grass,Approved,Present,Native,Unknown,,
Acadia National Park,Vascular Plant,,,Photinia X floribunda,Purple Chokeberry,In Review,Present,Native,Occasional,,
Acadia National Park,Vascular Plant,,,Polypodium x triploidea,None,In Review,Not Confirmed,Native,,,
Acadia National Park,Vascular Plant,,,Rubus allegheniensis x setosus,Hbrid Blackbetty,In Review,Not Confirmed,Native,,,
Acadia National Park,Vascular Plant,,,Rubus recurvicaulis X setosus,Dewberry,Approved,Not Confirmed,Native,,,
Acadia National Park,Vascular Plant,,,Salix humilis X discolor,Willow,In Review,Not Confirmed,Native,,,
Acadia National Park,Vascular Plant,,,Schoenoplectus acutus x tabernaemontanii,Hybrid,In Review,Present,Native,Rare,,
